investor_name,investment_year,investment_type,investment_amount
Oliver,2015,Stocks,47987.87
Sara,2021,Real Estate,24219.2
Emma,2020,Bonds,41111.43
Eva,2020,Stocks,5676.28
Bob,2015,Mutual Funds,34799.3
Sara,2019,Real Estate,8658.28
Eva,2022,Bonds,2315.09
David,2016,Stocks,1178.53
Sophia,2021,Real Estate,43323.56
Bob,2015,Real Estate,6873.5
Sophia,2012,Mutual Funds,32202.35
Alice,2010,Bonds,6677.06
John,2020,Real Estate,47866.07
Eva,2016,Real Estate,26858.65
Michael,2018,Real Estate,42462.67
Sara,2022,Stocks,11811.7
Bob,2011,Bonds,14745.48
Alice,2014,Mutual Funds,9745.87
Emma,2017,Bonds,4379.11
Sophia,2015,Stocks,38572.37
Emma,2018,Bonds,15229.45
Eva,2021,Real Estate,41770.29
Eva,2019,Real Estate,19698.36
Sophia,2020,Real Estate,28569.71
David,2020,Mutual Funds,35530.27
David,2021,Real Estate,42556.94
David,2012,Bonds,25732.7
Sophia,2021,Stocks,49385.55
Michael,2017,Stocks,10366.73
Bob,2020,Bonds,24433.43
Bob,2018,Stocks,47420.5
Sophia,2017,Mutual Funds,15840.14
Eva,2015,Stocks,37287.23
Sara,2012,Mutual Funds,49281.06
Oliver,2020,Stocks,43081.5
Emma,2019,Bonds,28869.75
Oliver,2017,Bonds,49071.78
David,2014,Real Estate,4262.74
John,2021,Bonds,34771.41
Bob,2016,Mutual Funds,38685.1
Eva,2017,Bonds,14831.69
Michael,2022,Real Estate,31067.88
Michael,2019,Stocks,34144.28
Oliver,2014,Bonds,35663.24
John,2013,Bonds,12554.49
Eva,2020,Real Estate,20390.42
Bob,2017,Real Estate,18937.59
Sophia,2011,Stocks,37985.35
Sophia,2018,Stocks,39882.17
Eva,2011,Stocks,21924.3
Alice,2018,Real Estate,33883.43
Sara,2012,Stocks,30257.94
Emma,2017,Mutual Funds,46418.31
Sophia,2011,Stocks,48600.56
Sophia,2020,Real Estate,11939.88
Michael,2010,Mutual Funds,43314.47
Michael,2013,Mutual Funds,24898.89
Sara,2012,Mutual Funds,10652.57
Emma,2014,Bonds,25594.54
Sophia,2022,Bonds,30411.76
David,2022,Stocks,20621.36
Sophia,2011,Real Estate,11240.95
Oliver,2019,Mutual Funds,20473.63
Michael,2015,Stocks,6716.45
Sara,2012,Real Estate,9615.68
Oliver,2020,Real Estate,32011.26
Emma,2011,Mutual Funds,44040.55
John,2015,Stocks,7192.71
John,2016,Bonds,11453.92
Sara,2020,Stocks,1243.63
Emma,2013,Mutual Funds,17762.99
Emma,2017,Real Estate,9247.84
Bob,2015,Real Estate,25229.89
Alice,2019,Bonds,18386.68
Eva,2017,Stocks,12593.94
Oliver,2014,Stocks,3741.33
Sara,2018,Mutual Funds,6344.46
Emma,2017,Real Estate,29512.9
Sara,2019,Bonds,6885.36
Sophia,2020,Real Estate,10973.46
Sara,2010,Mutual Funds,10473.02
Eva,2012,Stocks,48210.96
Bob,2017,Stocks,36240.15
Eva,2020,Mutual Funds,7129.61
Alice,2013,Mutual Funds,42818.71
John,2015,Bonds,3995.6
Michael,2011,Bonds,4111.78
Alice,2016,Mutual Funds,13628.17
Sara,2020,Mutual Funds,5056.26
John,2011,Mutual Funds,42297.51
Sara,2018,Mutual Funds,7572.65
Alice,2018,Bonds,44192.36
Sara,2012,Real Estate,17851.64
Eva,2014,Bonds,12649.4
Sara,2016,Real Estate,17592.93
Sophia,2022,Stocks,30110.92
Alice,2014,Stocks,26051.1
Sara,2021,Stocks,42114.59
Sophia,2019,Stocks,44649.9
Bob,2020,Bonds,41625.54
Oliver,2017,Bonds,6078.22
Alice,2013,Bonds,4616.57
John,2017,Bonds,24359.94
Eva,2014,Real Estate,15000.59
David,2015,Real Estate,11622.84
Emma,2016,Real Estate,16990.04
Sophia,2022,Stocks,32386.13
Alice,2012,Bonds,14889.89
Eva,2017,Bonds,35615.87
Bob,2011,Real Estate,37661.24
Sophia,2015,Real Estate,27821.05
Bob,2018,Bonds,28830.57
Eva,2020,Stocks,6958.51
Sophia,2016,Mutual Funds,46887.84
Sara,2016,Bonds,5885.11
John,2022,Stocks,44353.87
Alice,2017,Real Estate,18168.47
John,2017,Bonds,29775.25
John,2015,Bonds,6286.08
Sophia,2022,Real Estate,13048.2
David,2011,Bonds,22884.64
Michael,2013,Real Estate,14590.59
Eva,2011,Stocks,20715.76
Sophia,2016,Stocks,25771.74
David,2018,Stocks,5039.12
Michael,2018,Real Estate,34200.39
Alice,2022,Stocks,22548.45
David,2012,Stocks,46630.56
John,2019,Mutual Funds,37084.18
Oliver,2014,Bonds,42345.17
Eva,2020,Mutual Funds,21174.38
David,2016,Stocks,42430.25
Bob,2020,Real Estate,14715.89
Michael,2011,Stocks,32850.46
David,2015,Mutual Funds,16669.64
Michael,2022,Mutual Funds,7920.47
David,2014,Stocks,45415.09
Sophia,2012,Mutual Funds,6060.16
Emma,2014,Stocks,3082.89
Emma,2020,Mutual Funds,22794.23
John,2017,Stocks,1713.66
Emma,2018,Mutual Funds,22636.14
Oliver,2015,Stocks,10187.92
Oliver,2015,Mutual Funds,12565.91
David,2016,Stocks,25529.17
Oliver,2019,Stocks,3581.62
David,2013,Stocks,39683.85
Eva,2019,Real Estate,5239.25
David,2018,Bonds,20565.09
David,2019,Stocks,16840.83
Alice,2020,Bonds,26892.82
Emma,2022,Stocks,46311.43
Alice,2014,Bonds,34456.48
Bob,2018,Real Estate,23808.09
Sara,2022,Mutual Funds,30849
Bob,2017,Mutual Funds,27343.87
David,2015,Stocks,20165.4
Alice,2010,Stocks,40720.49
Alice,2011,Bonds,25815.47
Alice,2022,Stocks,11067.5
Alice,2013,Real Estate,21475.53
Oliver,2021,Stocks,10968.62
Alice,2013,Bonds,30843.33
Emma,2014,Stocks,45795.05
Eva,2019,Stocks,26166.33
David,2016,Stocks,47062.85
Sara,2016,Bonds,32151.42
Emma,2021,Mutual Funds,40358.24
Sara,2015,Bonds,7816.32
Oliver,2020,Mutual Funds,31966.04
Sara,2013,Stocks,6156.29
David,2021,Real Estate,33561.38
Alice,2017,Stocks,2458.13
Emma,2012,Real Estate,29510.57
Alice,2010,Stocks,2410.77
Emma,2010,Mutual Funds,4554.77
Sara,2013,Real Estate,6017.38
John,2019,Bonds,33696.85
Oliver,2020,Stocks,7152.99
David,2013,Bonds,43086.14
John,2020,Stocks,1175.95
David,2017,Bonds,21052.81
Bob,2016,Stocks,43497.19
Michael,2016,Real Estate,22267.14
Oliver,2017,Mutual Funds,41109.54
David,2010,Bonds,9067.72
David,2021,Stocks,41142.88
John,2015,Real Estate,36777.96
David,2020,Mutual Funds,39281.95
Alice,2016,Mutual Funds,39889.91
John,2018,Mutual Funds,29278.74
John,2017,Real Estate,35665.67
Alice,2019,Bonds,36312.19
Sophia,2014,Mutual Funds,41528.47
Emma,2011,Real Estate,11114.62
Alice,2017,Real Estate,15615.44
Oliver,2021,Stocks,29422.18
Sara,2019,Stocks,30353.13
Bob,2014,Real Estate,39103.64
Michael,2013,Stocks,36041.44
Oliver,2016,Mutual Funds,27090.91
Sophia,2020,Real Estate,38863.36
Alice,2015,Real Estate,9329.41
Emma,2020,Real Estate,40822.68
Emma,2013,Bonds,29261.16
Sophia,2013,Stocks,40509.8
Oliver,2021,Real Estate,32238.37
Sophia,2017,Bonds,28351.91
Michael,2012,Mutual Funds,1218.16
Sophia,2020,Mutual Funds,12934.48
Eva,2016,Real Estate,29771.77
David,2020,Real Estate,3340.93
Oliver,2018,Bonds,40244.59
David,2022,Mutual Funds,37041.79
Eva,2011,Real Estate,8798.08
Oliver,2016,Mutual Funds,39946.84
Eva,2016,Stocks,49558.42
Sara,2022,Bonds,24081.16
Emma,2010,Real Estate,34383.52
Emma,2020,Real Estate,1929.87
Alice,2022,Real Estate,27044.5
Michael,2020,Stocks,30031.91
Sara,2011,Mutual Funds,27044.18
Sophia,2017,Real Estate,46292.02
Bob,2017,Bonds,29863.29
Eva,2022,Bonds,43105.03
Sara,2014,Stocks,24249.82
Alice,2016,Bonds,4753.21
Bob,2014,Stocks,7179.76
Bob,2011,Stocks,14980.91
Michael,2010,Bonds,45741.07
Eva,2012,Bonds,45777.57
Bob,2011,Mutual Funds,6106.91
Oliver,2021,Stocks,44426.75
Oliver,2010,Bonds,48127.55
David,2012,Bonds,9000.18
Michael,2021,Bonds,14553.29
Bob,2012,Real Estate,34110.68
Eva,2021,Bonds,44317.62
Oliver,2017,Stocks,38910.66
Michael,2010,Mutual Funds,16892.99
Eva,2012,Mutual Funds,26561.93
Eva,2013,Real Estate,38673.37
Sara,2014,Mutual Funds,14330.9
Oliver,2020,Bonds,16675.82
Oliver,2016,Real Estate,8882.66
David,2020,Bonds,46310.41
Emma,2015,Real Estate,32093.78
Sophia,2014,Bonds,22113.85
David,2021,Real Estate,22914.87
David,2013,Stocks,23208.78
Sara,2021,Real Estate,40022.93
Michael,2020,Mutual Funds,20747.29
Oliver,2014,Bonds,46451.57
Sophia,2017,Bonds,26253
Bob,2012,Real Estate,32999.59
Sophia,2010,Stocks,44625.91
Oliver,2012,Stocks,7435.08
Bob,2019,Real Estate,18844.34
Emma,2011,Mutual Funds,13519.46
Emma,2011,Real Estate,39574.12
John,2017,Real Estate,22634.56
Alice,2021,Mutual Funds,15696.72
Bob,2010,Real Estate,28521.16
John,2015,Mutual Funds,26033.92
Emma,2018,Bonds,41592.19
Emma,2010,Real Estate,31430.33
Michael,2016,Real Estate,39728.08
Sophia,2013,Bonds,18694.68
Bob,2010,Bonds,24276.92
Eva,2020,Stocks,8515.61
Sara,2021,Bonds,20978.6
Sara,2017,Stocks,13683.2
David,2010,Real Estate,40827.44
Alice,2018,Mutual Funds,19505.51
David,2016,Mutual Funds,13599.93
Oliver,2010,Stocks,29343.37
Eva,2010,Mutual Funds,32362.77
Alice,2010,Real Estate,6968.54
Bob,2012,Mutual Funds,26681.35
Sophia,2012,Mutual Funds,14193.79
Oliver,2018,Stocks,16467.84
Sophia,2021,Mutual Funds,4895.69
Sophia,2010,Mutual Funds,24841.49
Emma,2013,Mutual Funds,11700.48
John,2017,Real Estate,5508.88
Bob,2010,Stocks,16545.85
David,2010,Mutual Funds,31373.74
David,2014,Mutual Funds,19424.24
Alice,2012,Mutual Funds,42087.96
Michael,2014,Bonds,43294.85
Bob,2012,Stocks,21081.71
Bob,2015,Mutual Funds,32285.22
Oliver,2014,Stocks,10230.66
David,2016,Real Estate,46089.19
Bob,2017,Bonds,20669.59
Sara,2017,Stocks,29949.73
John,2013,Bonds,37907.96
Michael,2013,Stocks,5140.77
John,2021,Mutual Funds,43573.41
Oliver,2020,Real Estate,43491.01
Eva,2011,Real Estate,46281.55
Michael,2022,Stocks,24562.45
Emma,2019,Mutual Funds,14245.89
Eva,2014,Bonds,27124.36
Eva,2020,Bonds,26079.25
David,2021,Real Estate,4420.8
David,2021,Stocks,40633.88
Sara,2012,Stocks,19746.81
Sophia,2016,Mutual Funds,26827.64
David,2016,Mutual Funds,48936.58
Sophia,2022,Stocks,3840.94
John,2015,Mutual Funds,13339.7
Alice,2014,Real Estate,24209.16
Bob,2017,Real Estate,21072.43
David,2016,Real Estate,27132.72
Oliver,2011,Real Estate,15801.58
Michael,2012,Bonds,16423.46
Eva,2018,Real Estate,10759.72
Sophia,2012,Mutual Funds,10412.84
Sophia,2017,Mutual Funds,24097.33
John,2017,Stocks,2614.23
Emma,2021,Bonds,48520.22
Michael,2017,Bonds,40219.29
Sara,2011,Bonds,36935.53
Sara,2011,Stocks,19407.29
Sophia,2011,Stocks,11936.05
Sophia,2022,Mutual Funds,39515.91
Eva,2021,Stocks,13524.3
Sophia,2014,Bonds,9125.55
David,2019,Real Estate,20577.15
David,2018,Bonds,45403.04
Alice,2012,Real Estate,49052.11
Sophia,2020,Real Estate,42251.8
John,2020,Mutual Funds,25515.26
Oliver,2020,Stocks,8234.85
Eva,2010,Stocks,13410.22
Eva,2018,Stocks,46083.27
Sophia,2011,Real Estate,35616.11
John,2015,Stocks,24091.58
Sara,2022,Real Estate,23021.81
Eva,2022,Bonds,12729.48
John,2013,Real Estate,21191.76
Oliver,2018,Mutual Funds,30691.53
Oliver,2021,Mutual Funds,5973.15
Oliver,2015,Bonds,13944.39
Sophia,2010,Mutual Funds,45442.93
John,2015,Real Estate,5758.43
Sara,2012,Mutual Funds,41084.45
Michael,2020,Stocks,5720.39
Oliver,2019,Bonds,36851.69
Alice,2010,Mutual Funds,33749.96
Alice,2015,Mutual Funds,21976.05
Oliver,2014,Mutual Funds,18096.99
Oliver,2018,Mutual Funds,14980.63
Sophia,2017,Real Estate,13427.24
Alice,2019,Bonds,49869.06
John,2017,Stocks,43655.51
Eva,2017,Mutual Funds,46482.26
Sophia,2019,Bonds,40297.97
Alice,2010,Real Estate,24697.72
Emma,2014,Real Estate,12506.36
Emma,2022,Bonds,44262.07
David,2012,Bonds,1964.34
Bob,2020,Real Estate,31604.6
Michael,2020,Stocks,7768.33
Alice,2019,Bonds,43260.7
Sara,2014,Mutual Funds,20684.37
Alice,2017,Bonds,18143.95
Oliver,2021,Mutual Funds,25811.86
David,2021,Mutual Funds,13784.83
Bob,2014,Real Estate,12583.83
Emma,2016,Real Estate,33050.68
Sophia,2020,Stocks,7798.71
Sophia,2016,Real Estate,28184.03
Bob,2016,Bonds,14413.83
Sophia,2021,Bonds,20686.31
Michael,2011,Bonds,30282.07
Eva,2019,Bonds,25821.88
Oliver,2017,Stocks,27183.48
John,2016,Mutual Funds,27733.29
David,2017,Stocks,37647.25
Emma,2011,Real Estate,40045.72
Emma,2016,Bonds,44685.11
Oliver,2010,Mutual Funds,3776.56
Eva,2019,Mutual Funds,12402.34
Sara,2014,Bonds,22712.47
John,2015,Stocks,24814.87
Alice,2012,Stocks,26426.16
Michael,2011,Mutual Funds,38279.9
Alice,2013,Bonds,32777.28
Bob,2016,Mutual Funds,40366.62
Sophia,2013,Mutual Funds,1431.67
David,2017,Real Estate,43457.53
Oliver,2019,Real Estate,4486.51
Sophia,2012,Bonds,42880.39
Bob,2017,Mutual Funds,5544.13
Oliver,2022,Mutual Funds,34438.1
Oliver,2015,Real Estate,36789.21
Sophia,2012,Stocks,19746.86
Alice,2019,Real Estate,11607.34
David,2018,Mutual Funds,20988.65
Sophia,2017,Real Estate,49728.27
Bob,2015,Stocks,4787.53
Michael,2011,Mutual Funds,39786.32
Michael,2013,Bonds,49862.35
Sophia,2019,Real Estate,44490.98
Sophia,2018,Mutual Funds,13002.11
David,2022,Bonds,14252.08
Sophia,2013,Real Estate,40879.42
Eva,2017,Stocks,24902.75
Bob,2012,Mutual Funds,8512.04
Alice,2012,Mutual Funds,30301.69
David,2019,Real Estate,40849.75
Oliver,2015,Mutual Funds,2110.16
John,2022,Stocks,8080.1
Emma,2016,Stocks,17505.66
David,2015,Bonds,8948.86
Eva,2022,Real Estate,28335.07
Bob,2018,Stocks,31320.25
Oliver,2019,Stocks,34461.04
Alice,2020,Mutual Funds,5728.77
Bob,2015,Bonds,29568.14
Sara,2016,Stocks,7796.49
Alice,2010,Real Estate,25264.14
Emma,2015,Real Estate,1989.77
Sara,2011,Stocks,27946.19
Sara,2021,Real Estate,39121.41
Sara,2017,Stocks,28428.25
David,2022,Real Estate,28225.38
